execution_id,asm_name,rule_signature,tot_conditional_rules,covered_true_conditional_rules,covered_false_conditional_rules,tot_update_rules,covered_update_rules,failing_scenarios
exec_Ascensore_af9e5d6e-eac8-4ae5-b1a1-e147a46b8152,Ascensore,r_Main(),6,6,4,7,7,none
exec_ATM3v2_4e8d54be-b80e-456f-a1b7-70d0c484e18b,ATM3v2,r_Main(),2,0,2,1,0,none
exec_ATM3v2_4e8d54be-b80e-456f-a1b7-70d0c484e18b,ATM3v2,r_chooseService(),5,0,1,4,0,none
exec_ATM3v2_4e8d54be-b80e-456f-a1b7-70d0c484e18b,ATM3v2,r_insertcard(),2,2,1,2,2,none
exec_ATM3v2_4e8d54be-b80e-456f-a1b7-70d0c484e18b,ATM3v2,r_chooseAmount(),3,0,1,2,0,none
exec_ATM3v2_4e8d54be-b80e-456f-a1b7-70d0c484e18b,ATM3v2,r_enterPin(),2,1,2,3,1,none
exec_ATM3v2_4e8d54be-b80e-456f-a1b7-70d0c484e18b,ATM3v2,r_prelievo(),6,0,2,0,0,none
exec_CashPoint_567fe43f-fd13-4605-befa-b07f581952c8,CashPoint,"r_insertedCard(Till,Card)",1,1,1,2,2,src\main\resources\randomtests\CashPoint\testtest0.avalla
exec_CashPoint_567fe43f-fd13-4605-befa-b07f581952c8,CashPoint,r_main(),0,0,0,0,0,src\main\resources\randomtests\CashPoint\testtest0.avalla
exec_CashPoint_567fe43f-fd13-4605-befa-b07f581952c8,CashPoint,r_validPin(Till),2,0,1,2,0,src\main\resources\randomtests\CashPoint\testtest0.avalla
exec_CashPoint_567fe43f-fd13-4605-befa-b07f581952c8,CashPoint,r_enterPin(Till),4,2,2,3,0,src\main\resources\randomtests\CashPoint\testtest0.avalla
exec_CashPoint_567fe43f-fd13-4605-befa-b07f581952c8,CashPoint,r_insertCard(Till),0,0,0,0,0,src\main\resources\randomtests\CashPoint\testtest0.avalla
exec_Cassaforte_0136cd57-549a-4d24-8194-7f000d10e96e,Cassaforte,r_Main(),2,2,2,2,2,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_rightAnswer(),1,1,0,0,0,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_wrongAnswer(),1,1,1,1,1,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_checkanswer(),1,1,1,0,0,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_wrongCheckLevel(),1,0,1,1,1,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_chooseshape(),0,0,0,4,4,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_rightAnswNoLoop(),0,0,0,3,3,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_goOut(),0,0,0,2,2,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_wrong(),1,1,0,2,1,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_exit(),2,0,1,2,0,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_levelno1(),1,1,0,0,0,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_test(),3,2,3,0,0,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_setCertifier(),1,1,1,2,2,none
exec_Certifier_nochoose_noundef_48e9b742-61b2-43ac-b1cb-f48c659c1bb3,Certifier_nochoose_noundef,r_Main(),1,1,1,0,0,none
exec_CoffeeVendingMachineNC_d99a0fd1-7b4f-4ebb-8043-eaffb68ed030,CoffeeVendingMachineNC,r_serveProduct(Product),0,0,0,2,2,none
exec_CoffeeVendingMachineNC_d99a0fd1-7b4f-4ebb-8043-eaffb68ed030,CoffeeVendingMachineNC,r_Main(),6,3,3,0,0,none
exec_Contatore_U_DA_H_f04101ce-e41f-4daf-be74-d29e22ea810c,Contatore_U_DA_H,r_Contatore(),1,1,0,0,0,none
exec_Contatore_U_DA_H_f04101ce-e41f-4daf-be74-d29e22ea810c,Contatore_U_DA_H,r_upUnita(),1,0,1,1,1,none
exec_Dado_295c86d8-7b9d-450b-aa46-185847689404,Dado,r_Main(),4,1,3,9,4,none
exec_Ferryman_1e018660-b7e8-44ea-b64e-0cbdc76d9d5a,Ferryman,r_MoveFerryman(),1,1,1,2,2,none
exec_Ferryman_1e018660-b7e8-44ea-b64e-0cbdc76d9d5a,Ferryman,r_ferrymanProblem(),1,0,1,1,0,none
exec_Ferryman_1e018660-b7e8-44ea-b64e-0cbdc76d9d5a,Ferryman,r_MoveCarry(),2,2,2,2,2,none
exec_Forno_291ce541-73d6-4961-8e52-44666dbcb0b8,Forno,r_Main(),4,2,4,7,3,none
exec_LIFT_06368e3c-712e-4f64-8b01-b546823c9ae4,LIFT,"r_Fsm(Lift,State,Boolean,Rule(Lift),State)",1,1,1,1,1,none
exec_LIFT_06368e3c-712e-4f64-8b01-b546823c9ae4,LIFT,"r_CancelRequest(Floor,Dir,Lift)",0,0,0,2,2,none
exec_LIFT_06368e3c-712e-4f64-8b01-b546823c9ae4,LIFT,r_Main(),3,3,3,3,3,none
exec_LIFT_06368e3c-712e-4f64-8b01-b546823c9ae4,LIFT,r_costraintCallFromTo(),0,0,0,1,1,none
exec_LIFT_06368e3c-712e-4f64-8b01-b546823c9ae4,LIFT,r_costraintHasToDeliver(),0,0,0,1,1,none
exec_Phd_master_flat2_v1_b7dbe82a-5655-4cb3-843e-55cef8cae25f,Phd_master_flat2_v1,r_Unassociated(),0,0,0,14,14,none
exec_Phd_master_flat2_v1_b7dbe82a-5655-4cb3-843e-55cef8cae25f,Phd_master_flat2_v1,r_Operating(),0,0,0,18,2,none
exec_Phd_master_flat2_v1_b7dbe82a-5655-4cb3-843e-55cef8cae25f,Phd_master_flat2_v1,r_Main(),3,2,3,0,0,none
exec_Pillbox_1_32d3a331-88d7-4a51-a5f5-5e08fe7f23b6,Pillbox_1,r_drawerOpened(),1,1,1,3,3,none
exec_Pillbox_1_32d3a331-88d7-4a51-a5f5-5e08fe7f23b6,Pillbox_1,r_drawerClosed(),0,0,0,4,4,none
exec_Pillbox_1_32d3a331-88d7-4a51-a5f5-5e08fe7f23b6,Pillbox_1,r_timeOutExpired_drawerOpened(),0,0,0,5,5,none
exec_Pillbox_1_32d3a331-88d7-4a51-a5f5-5e08fe7f23b6,Pillbox_1,r_pillToBeTaken(),1,1,0,3,3,none
exec_Pillbox_1_32d3a331-88d7-4a51-a5f5-5e08fe7f23b6,Pillbox_1,r_writeToFile(),0,0,0,0,0,none
exec_Pillbox_1_32d3a331-88d7-4a51-a5f5-5e08fe7f23b6,Pillbox_1,r_takeInTimeout(),1,1,0,3,3,none
exec_Pillbox_1_32d3a331-88d7-4a51-a5f5-5e08fe7f23b6,Pillbox_1,r_Main(),16,15,14,3,3,none
exec_RailroadGate_9a9a86e2-daf5-413c-b3a7-ef96d85bc23d,RailroadGate,r_Main(),2,1,0,4,1,none
exec_SiGistica_86d24d7b-6b37-4d98-8331-ce807f688cd9,SiGistica,r_rifornimento(),0,0,0,1,1,none
exec_SiGistica_86d24d7b-6b37-4d98-8331-ce807f688cd9,SiGistica,r_pagamento(),1,1,0,1,1,none
exec_SiGistica_86d24d7b-6b37-4d98-8331-ce807f688cd9,SiGistica,r_Main(),0,0,0,0,0,none
exec_SiGistica_86d24d7b-6b37-4d98-8331-ce807f688cd9,SiGistica,r_autista(),0,0,0,1,1,none
exec_SiGistica_86d24d7b-6b37-4d98-8331-ce807f688cd9,SiGistica,r_officina(UffLog),3,2,2,2,2,none
exec_SiGistica_86d24d7b-6b37-4d98-8331-ce807f688cd9,SiGistica,r_info(),1,1,0,1,1,none
exec_SiGistica_86d24d7b-6b37-4d98-8331-ce807f688cd9,SiGistica,r_choosePag(),0,0,0,0,0,none
exec_SIS_44c8f1ff-f543-43e0-9a29-eaffd40a3042,SIS,r_2(),1,0,1,2,0,none
exec_SIS_44c8f1ff-f543-43e0-9a29-eaffd40a3042,SIS,r_1(),1,1,1,1,1,none
exec_SIS_44c8f1ff-f543-43e0-9a29-eaffd40a3042,SIS,r_4(),1,0,1,2,0,none
exec_SIS_44c8f1ff-f543-43e0-9a29-eaffd40a3042,SIS,r_3(),1,0,1,1,0,none
exec_SIS_44c8f1ff-f543-43e0-9a29-eaffd40a3042,SIS,r_6(),1,1,1,1,1,none
exec_SIS_44c8f1ff-f543-43e0-9a29-eaffd40a3042,SIS,r_5(),1,1,1,1,1,none
exec_SIS_44c8f1ff-f543-43e0-9a29-eaffd40a3042,SIS,r_Main(),0,0,0,0,0,none
exec_SIS_44c8f1ff-f543-43e0-9a29-eaffd40a3042,SIS,r_7(),2,2,1,2,2,none
exec_SIS_44c8f1ff-f543-43e0-9a29-eaffd40a3042,SIS,r_wp(),2,1,2,3,2,none
exec_SmartHome_156e3fa3-f4a0-49d8-b6f6-38a64c969c9a,SmartHome,r_checkAirQualityMAPE_AQ(),1,1,1,2,2,"src\main\resources\randomtests\SmartHome\testtest0.avalla,src\main\resources\randomtests\SmartHome\testtest2.avalla,src\main\resources\randomtests\SmartHome\testtest4.avalla,src\main\resources\randomtests\SmartHome\testtest6.avalla,src\main\resources\randomtests\SmartHome\testtest8.avalla"
exec_SmartHome_156e3fa3-f4a0-49d8-b6f6-38a64c969c9a,SmartHome,r_Main(),2,2,0,1,1,"src\main\resources\randomtests\SmartHome\testtest0.avalla,src\main\resources\randomtests\SmartHome\testtest2.avalla,src\main\resources\randomtests\SmartHome\testtest4.avalla,src\main\resources\randomtests\SmartHome\testtest6.avalla,src\main\resources\randomtests\SmartHome\testtest8.avalla"
exec_SmartHome_156e3fa3-f4a0-49d8-b6f6-38a64c969c9a,SmartHome,r_manageTime(),1,1,0,3,1,"src\main\resources\randomtests\SmartHome\testtest0.avalla,src\main\resources\randomtests\SmartHome\testtest2.avalla,src\main\resources\randomtests\SmartHome\testtest4.avalla,src\main\resources\randomtests\SmartHome\testtest6.avalla,src\main\resources\randomtests\SmartHome\testtest8.avalla"
exec_SmartHome_156e3fa3-f4a0-49d8-b6f6-38a64c969c9a,SmartHome,r_checkWindowAndHeaterMAPE_MD(),1,0,1,1,0,"src\main\resources\randomtests\SmartHome\testtest0.avalla,src\main\resources\randomtests\SmartHome\testtest2.avalla,src\main\resources\randomtests\SmartHome\testtest4.avalla,src\main\resources\randomtests\SmartHome\testtest6.avalla,src\main\resources\randomtests\SmartHome\testtest8.avalla"
exec_SmartHome_156e3fa3-f4a0-49d8-b6f6-38a64c969c9a,SmartHome,r_checkRoomTempMAPE_CH(),2,1,2,3,2,"src\main\resources\randomtests\SmartHome\testtest0.avalla,src\main\resources\randomtests\SmartHome\testtest2.avalla,src\main\resources\randomtests\SmartHome\testtest4.avalla,src\main\resources\randomtests\SmartHome\testtest6.avalla,src\main\resources\randomtests\SmartHome\testtest8.avalla"
exec_SmartHome_156e3fa3-f4a0-49d8-b6f6-38a64c969c9a,SmartHome,r_checkHotWaterMorningMAPE_MWH(),1,1,0,1,1,"src\main\resources\randomtests\SmartHome\testtest0.avalla,src\main\resources\randomtests\SmartHome\testtest2.avalla,src\main\resources\randomtests\SmartHome\testtest4.avalla,src\main\resources\randomtests\SmartHome\testtest6.avalla,src\main\resources\randomtests\SmartHome\testtest8.avalla"
exec_SmartHome_156e3fa3-f4a0-49d8-b6f6-38a64c969c9a,SmartHome,r_checkElectrMAPE_ES(),3,0,1,2,0,"src\main\resources\randomtests\SmartHome\testtest0.avalla,src\main\resources\randomtests\SmartHome\testtest2.avalla,src\main\resources\randomtests\SmartHome\testtest4.avalla,src\main\resources\randomtests\SmartHome\testtest6.avalla,src\main\resources\randomtests\SmartHome\testtest8.avalla"
exec_TrafficLightv2_3b6d6c36-5a3c-4a91-b0d6-407449b196c6,TrafficLightv2,r_green(),2,1,2,5,3,none
exec_TrafficLightv2_3b6d6c36-5a3c-4a91-b0d6-407449b196c6,TrafficLightv2,r_Main(),0,0,0,0,0,none
exec_TrafficLightv2_3b6d6c36-5a3c-4a91-b0d6-407449b196c6,TrafficLightv2,r_pending(),1,1,1,3,3,none
exec_TrafficLightv2_3b6d6c36-5a3c-4a91-b0d6-407449b196c6,TrafficLightv2,r_red(),1,1,1,3,3,none
